id	x	y	riistajalajiNimi
366	549923.505	6978315.979	Hirvi
367	452140.017	7376694.924	Metskauris
368	272587.892	6802413.604	Valkohntpeura
369	251544.576	6745686.786	Valkohntpeura
370	234382.457	6794899.612	Valkohntpeura
371	241693.429	6768112.111	Valkohntpeura
372	247059.386	6935293.611	Hirvi
373	377413.732	6709186.005	Valkohntpeura
374	350646.281	6739754.154	Valkohntpeura
375	361408.73	6725361.977	Valkohntpeura
376	222605.191	6729627.681	Valkohntpeura
377	519962.752	6775508.966	Hirvi
378	261570.178	6733894.247	Metskauris
379	417047.375	7437744.159	Hirvi
380	219411.351	6711985.045	Valkohntpeura
381	284924.781	6732322.493	Valkohntpeura
382	346525.237	6741266.517	Valkohntpeura
383	259821.264	6859790.753	Metskauris
384	351370.267	6794342.822	Valkohntpeura
385	341292.621	6783632.454	Valkohntpeura
386	444036.453	7124125.122	Hirvi
387	262696.5	6671735.716	Valkohntpeura
388	266624.578	6760078.448	Valkohntpeura
389	414146.243	6768459.421	Metskauris
390	335137.279	6830380.084	Valkohntpeura
391	290734.869	6687634.097	Valkohntpeura
392	582259.022	7070558.199	Metskauris
393	305530.549	6735952.889	Hirvi
394	295419.691	6824636.682	Metskauris
395	302134.85	6718887.029	Valkohntpeura
396	401465.247	6822163.813	Valkohntpeura
397	334277.589	6795918.448	Valkohntpeura
398	278859.653	6729679.015	Valkohntpeura
399	318190.665	6797466.88	Valkohntpeura
400	335677.062	6776023.53	Valkohntpeura
401	271155.841	6749887.679	Valkohntpeura
402	268980.998	6751889.184	Valkohntpeura
403	212481.566	6738043.235	Metskauris
404	253700.93	6789978.488	Valkohntpeura
405	281175.184	6713331.087	Valkohntpeura
406	219001.953	6766293.025	Valkohntpeura
407	304847.977	6815522.476	Valkohntpeura
408	246602.101	6790058.444	Metskauris
409	375542.414	6951055.104	Metspeura
410	284820.801	6681761.918	Valkohntpeura
411	220859.695	6681725.019	Valkohntpeura
412	243457.108	6788677.066	Metskauris
413	255744.709	6759939.89	Valkohntpeura
414	320359.715	6795438.342	Valkohntpeura
415	387957.725	6982173.048	Metskauris
416	234312.479	6771198.263	Valkohntpeura
417	347063.681	6776357.848	Metskauris
418	366692.426	6986206.483	Hirvi
419	250929.514	6760416.895	Hirvi
420	306328.005	6683970.151	Valkohntpeura
421	298390.374	6794861.854	Valkohntpeura
422	553209.199	6976438.846	Hirvi
423	443333.286	7003157.875	Valkohntpeura
424	246370.815	6761050.297	Valkohntpeura
425	320826.316	6797103.918	Valkohntpeura
426	314467.845	6799135.476	Valkohntpeura
427	523749.221	7112117.127	Hirvi
428	336632.189	6798938.9	Metskauris
429	348664.558	6865125.448	Metskauris
430	221306.338	6749916.741	Valkohntpeura
431	346876.366	6741110.452	Valkohntpeura
432	492791.787	6819551.778	Valkohntpeura
433	397167.712	6964019.346	Metskauris
434	431778.724	6928983.362	Metskauris
435	310976.55	6798877.493	Valkohntpeura
436	224726.549	6712743.131	Valkohntpeura
437	549515.336	7127206.273	Hirvi
438	386914.118	6681585.158	Metskauris
439	280716.068	6830488.022	Valkohntpeura
440	266863.001	6758592.094	Valkohntpeura
441	303926.401	6778844.837	Valkohntpeura
442	343409.041	6801659.078	Valkohntpeura
443	285663.548	6754185.41	Valkohntpeura
444	360458.83	6777392.843	Valkohntpeura
445	288076.941	6672093.031	Valkohntpeura
446	208293.323	6766596.528	Valkohntpeura
447	268807.133	6704184.312	Valkohntpeura
448	224233.548	6727661.422	Valkohntpeura
449	288270.886	6703060.161	Metskauris
450	529744.564	6994541.814	Metskauris
451	250184.019	6706878.469	Metskauris
452	262192.494	6720125.848	Valkohntpeura
453	249757.21	6706784.207	Metskauris
454	252292.437	6701539.514	Metskauris
455	220322.858	6737054.804	Metskauris
456	206710.735	6790741.983	Metskauris
457	266856.619	6758087.967	Valkohntpeura
458	263834.825	6743493.183	Valkohntpeura
459	261593.581	6745343.64	Valkohntpeura
460	257068.032	6742179.887	Valkohntpeura
461	220985.192	6768906.813	Valkohntpeura
462	241624.204	6717430.819	Metskauris
463	291546.01	6809385.597	Valkohntpeura
464	343327.537	6679493.391	Valkohntpeura
465	325366.468	6795583.726	Metskauris
466	267447.075	6759511.178	Valkohntpeura
467	219453.482	6822255.258	Metskauris
468	298149.625	6812131.681	Valkohntpeura
469	297687.14	6808980.752	Valkohntpeura
470	221691.539	6713430.222	Valkohntpeura
471	226322.244	6709455.23	Metskauris
472	223587.782	6713216.049	Hirvi
473	233921.93	6746482.585	Valkohntpeura
474	221754.09	6748918.028	Valkohntpeura
475	223884.732	6743996.653	Valkohntpeura
476	244250.596	6698264.137	Hirvi
477	401086.676	7285395.344	Hirvi
478	198885.367	6750359.607	Metskauris
479	533831.517	6778204.797	Hirvi
480	276815.729	6746476.701	Metskauris
481	576198.47	7108050.738	Metspeura
482	351582.62	6666949.577	Valkohntpeura
483	346908.261	6674502.571	Valkohntpeura
484	278879.45	6759351.177	Valkohntpeura
485	281405.684	6740819.813	Hirvi
486	384320.269	6678729.328	Metskauris
487	311667.77	6656467.514	Valkohntpeura
488	264666.083	6756272.269	Valkohntpeura
489	364470.351	6729842.687	Valkohntpeura
490	308285.796	6777351.528	Valkohntpeura
491	579726.141	7423821.661	Hirvi
492	280163.368	6749252.681	Valkohntpeura
493	234282.389	6708904.141	Metskauris
494	261344.128	6719918.974	Valkohntpeura
495	235378.209	6709678.919	Metskauris
496	261048.955	6719884.807	Valkohntpeura
497	415383.629	7339520.21	Hirvi
498	257627.801	6734155.364	Metskauris
499	334978.045	6765938.535	Valkohntpeura
500	371304.845	6804091.551	Valkohntpeura
501	536794.527	7121866.987	Metskauris
502	211713.199	6827307.976	Metskauris
503	362504.73	6731616.101	Valkohntpeura
504	370953.622	6737311.883	Valkohntpeura
505	315436.515	6799273.054	Valkohntpeura
506	470797.595	6711347.375	Valkohntpeura
507	420662.855	7338893.402	Hirvi
508	314665.151	6823457.639	Metskauris
509	447713.298	6727917.545	Metskauris
510	606462.658	7193769.906	Hirvi
511	402659.688	6903430.285	Valkohntpeura
512	421527.37	6762347.782	Metskauris
513	420189.38	6791981.757	Metskauris
514	367757.709	6711670.673	Valkohntpeura
515	433042.82	6918697.095	Valkohntpeura
516	243987.233	6700382.592	Metskauris
517	315560.213	6776789.707	Valkohntpeura
518	276298.367	6781859.555	Hirvi
519	431755.437	6775091.746	Valkohntpeura
520	641265.867	6985325.175	Hirvi
521	372338.938	6882644.931	Hirvi
522	323843.397	6655433.646	Valkohntpeura
523	257659.851	6683339.516	Valkohntpeura
524	258831.604	6682242.56	Hirvi
525	317179.274	6796723.413	Valkohntpeura
526	417815.885	7340070.591	Hirvi
527	239063.787	6705110.926	Metskauris
528	554136.039	6760854.959	Hirvi
529	214994.181	6735797.419	Metskauris
530	356550.375	6797835.316	Metskauris
531	230213.474	7016636.941	Metskauris
532	238223.711	6716666.774	Valkohntpeura
533	388831.176	7295788.141	Hirvi
534	273396.64	6789739.757	Valkohntpeura
535	352901.513	6754984.29	Valkohntpeura
536	352457.094	6712719.24	Hirvi
537	347204.343	6675504.457	Valkohntpeura
538	346469.181	6665067.545	Valkohntpeura
539	578150.113	7107301.817	Metspeura
540	235637.013	6689614.158	Metskauris
541	286402.147	6771800.725	Metskauris
542	443627.317	6889669.388	Metskauris
543	258056.533	6665962.316	Hirvi
